id;name;source;address;type;agr_type;lat;lon;region;original_address;sameness;reffers_to
605;Смотровая площадка;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район, мыс Хобой;смотровая площадка;Культурно-познавательный туризм;53.411476;107.789103;Ольхонский;1;0;
606;Смотровая площадка;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район, Еланцынское муниципальное образование;смотровая площадка;Культурно-познавательный туризм;52.782866;106.609443;Ольхонский;1;0;
778;экоотель «Имение Заречное» ;Сельскии?_туризм_Паспорт_туризма_2019.xlsx;Иркутская обл., Иркутский р-н, с. Бугульдейка;Не определен;Сельский туризм;52.55235;106.062207;Ольхонский;1;0;
1137;«Хрустальный конёк» соревнования по конькобежному спорту на приз Байкальского Деда Мороза;События_туристические_учтены_места_проведения.csv;Иркутская область, Слюдянский район, г. Слюдянка, оз. Байкал;Не определен;Событийный туризм;53.405332;107.673058;Ольхонский;1;0;
1372;Прибайкальский национальный парк;Культура OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Еланцынское муниципальное образование;urban_environment,gardens_and_parks,cultural,natural,interesting_places,nature_reserves,national_parks;Культурно-познавательный туризм;52.788937;106.473007;Ольхонский;0;0;
1434;Хужирский краеведческий музей им. Н. М. Ревякина;Культура OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, посёлок Хужир, Первомайская улица;museums,cultural,interesting_places,local_museums;Культурно-познавательный туризм;53.194698;107.338211;Ольхонский;0;2;245.0
1562;Музей рыболовного промысла;Культура OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Шара-Тоготское муниципальное образование, село Сахюрта, Центральная улица;cultural,museums,interesting_places,other_museums;Культурно-познавательный туризм;53.016636;106.885056;Ольхонский;0;0;
1563;"Картинная галлерея в ""Мастерской Ощепковых""";Культура OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, посёлок Хужир, Кирпичная улица;cultural,urban_environment,interesting_places,installation;Культурно-познавательный туризм;53.198112;107.338417;Ольхонский;0;0;
1625;Краеведческий музей имени Ревякина;Культура OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, посёлок Хужир, Первомайская улица;cultural,museums,interesting_places,other_museums;Культурно-познавательный туризм;53.194607;107.338211;Ольхонский;0;1;
1663;Памятник Бродяге;Культура OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Шара-Тоготское муниципальное образование;historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments;Культурно-познавательный туризм;53.010616;106.806763;Ольхонский;0;1;
1789;Орёл;Монументы OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Еланцынское муниципальное образование;historic,monuments_and_memorials,interesting_places,monuments;Культурно-познавательный туризм;52.836063;106.508827;Ольхонский;0;0;
1802;Шигаев Роберт Николаевич;Монументы OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Шара-Тоготское муниципальное образование;historic,monuments_and_memorials,interesting_places,monuments;Культурно-познавательный туризм;53.020023;106.900536;Ольхонский;0;0;
1803;Памятник Героям Великой Отечественной Войны;Монументы OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, посёлок Хужир;historic,monuments_and_memorials,interesting_places,monuments;Культурно-познавательный туризм;53.193157;107.347542;Ольхонский;0;0;
1876;Остатки корабля;Монументы OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Хужирское муниципальное образование, остров Ольхон;historic,monuments_and_memorials,interesting_places,monuments;Культурно-познавательный туризм;53.182838;107.289703;Ольхонский;0;0;
1888;Памятник Бродяге;Монументы OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Шара-Тоготское муниципальное образование;historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments;Культурно-познавательный туризм;53.010616;106.806763;Ольхонский;0;2;1663.0
1903;озеро Байкал;Природа OpenTripMap.xlsx;Россия, озеро Байкал;water,natural,interesting_places,other_lakes;Природный туризм;53.672119;108.201027;Ольхонский;0;0;
1905;Прибайкальский национальный парк;Природа OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Еланцынское муниципальное образование;urban_environment,gardens_and_parks,cultural,natural,interesting_places,nature_reserves,national_parks;Природный туризм;52.788937;106.473007;Ольхонский;0;0;
1906;Шаманка;Природа OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Хужирское муниципальное образование, мыс Бурхан;geological_formations,natural,interesting_places,nature_reserves,caves,other_nature_conservation_areas;Природный туризм;53.2038;107.338776;Ольхонский;0;1;
1907;Шаманка;Природа OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Хужирское муниципальное образование, мыс Бурхан;geological_formations,natural,interesting_places,nature_reserves,caves,other_nature_conservation_areas;Природный туризм;53.203709;107.338875;Ольхонский;0;2;1906.0
1911;озеро Ханхой;Природа OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Хужирское муниципальное образование, озеро Ханхой;natural,interesting_places,nature_reserves,other_nature_conservation_areas;Природный туризм;53.152294;107.16803;Ольхонский;0;0;
1926;Шара-Нур;Природа OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Хужирское муниципальное образование, озеро Шара-Нур;interesting_places,natural,nature_reserves,other_nature_conservation_areas;Природный туризм;53.104626;107.25502;Ольхонский;0;0;
1962;Мыс Бурхан;Природа OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Хужирское муниципальное образование, мыс Бурхан;rock_formations,natural_monuments,natural,interesting_places,geological_formations,nature_reserves;Природный туризм;53.203999;107.338997;Ольхонский;0;1;
1963;Водопад на р. Безымянной;Природа OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Онгурёнское муниципальное образование;rock_formations,natural_monuments,natural,interesting_places,geological_formations,waterfalls,water,nature_reserves;Природный туризм;54.299999;108.470001;Ольхонский;0;1;
