name;rating;min_price;rating.quality_of_sleep;rating.location;rating.service;rating.cleanness;rating.meal;lon;lat;id
Рыжая сова;9.9;1900;9.6;9.1;9.8;9.6;0;103.90627;51.60011;625659_101hotels
Вепское Поместье;9.8;4500;9.6;9.6;9.6;9.8;10;104.12;51.51361349;10632_101hotels
MANGUTAISKI;8.9;18000;10;10;10;10;10;103.909225;51.605342;665248_101hotels
Орлиное Гнездо;7.2;600;10;10;10;10;10;104.147;51.5068126;10640_101hotels
Березовый;9.3;1560;9.3;9.3;9.6;9.8;8.7;104.13815;51.524272;14059_101hotels
Байкальское подворье;0;1600;0;0;0;0;0;104.4055;51.48093189;98724_101hotels
Береза;9.8;2200;9.8;9.8;9.8;9.8;0;104.1381;51.52434233;101007_101hotels
Нефрит;9.8;2500;9.8;9.6;9.8;10;9.3;104.13852;51.52319;101009_101hotels
Синяя Крыша;9.1;2400;9.4;9.6;9.4;9.6;10;104.1245;51.51803694;101010_101hotels
Волна;9.1;2100;8.3;9.6;9.3;9.8;8.7;104.1375;51.52383055;101014_101hotels
Виктория;8.7;1500;0;0;0;0;0;104.2217;51.49624032;101021_101hotels
Байкальский Очаг;9.4;1425;9.4;9.4;9.4;9.6;10;103.7036;51.7224513;64700_101hotels
Ски-Лет;8.9;7000;9.8;9.3;9.3;9.4;0;104.14554;51.524028;101031_101hotels
Байкальский Рай;9.4;3500;9.6;9.6;9.6;9.6;9.6;103.7251;51.73192262;64701_101hotels
Байкал;9.6;4000;9.8;9.8;9.8;9.8;8.7;104.1406;51.52418927;101036_101hotels
Твоя стихия;0;1000;0;0;0;0;0;103.27285;51.757583;79759_101hotels
Хамар Дабан;8.7;3000;8.5;8.9;8.3;9.3;0;104.10965;51.518924;378609_101hotels
На Мира;7.6;3500;8.7;8.7;8.7;8.7;8.7;103.70938;51.725229;495208_101hotels
Домино;0;2900;0;0;0;0;0;104.2226;51.4958095;422598_101hotels
Тракстоп 38;7.6;600;0;8.7;8.7;8.7;8.7;103.68813;51.713296;495209_101hotels
Ice;9.3;550;9.6;9.8;9.4;9.4;10;104.13586;51.51961566;422599_101hotels
У Ручья;9.8;3000;9.8;9.8;10;10;10;103.727289;51.730796;655338_101hotels
Созвездие Байкала;7.2;3000;8.1;8.5;7.8;8.1;9.3;104.132555;51.525309;495566_101hotels
Култук;0;10000;0;0;0;0;0;103.696845;51.724024;659445_101hotels
Находка;9.3;4750;9.6;9.3;9.1;9.8;8.7;104.15394;51.51523;495567_101hotels
Цифровые Кочевники;0;0;0;0;0;0;0;103.696845;51.724024;663649_101hotels
на Комсомольской 13-2;8.2;5120;8.7;10;8.7;8.7;10;104.13873;51.52528;495568_101hotels
Царская Усадьба;8.2;20000;8.7;10;8.7;8.7;10;104.1324;51.51195;495569_101hotels
В Байкальске;8.3;4230;8.7;10;8.7;8.7;10;104.15399;51.51523;495570_101hotels
на Берёзовом;8.9;3000;10;10;10;10;10;104.13853;51.52432;495571_101hotels
Русь;9;14100;8.5;9.3;9.1;8.3;10;104.121676;51.513831;495573_101hotels
Мельница;8.7;3500;8.7;9.1;8.1;8.9;9.3;104.122835;51.515064;495574_101hotels
Теремок;8.2;6000;8.7;10;8.7;8.7;10;104.12315;51.51391;495575_101hotels
Уютный двор;8.1;3000;7.4;7.9;8.3;7.8;0;104.136;51.51573363;511616_101hotels
Байкал;8.9;3300;10;10;10;10;10;104.138026;51.524945;514493_101hotels
Flat For Rent;9.4;1000;8.9;9.3;9.1;8.9;0;104.13831;51.51968;559406_101hotels
Северные склоны;8.5;2500;9.3;9.1;9.3;9.3;0;104.14017;51.52122;559407_101hotels
