name;rating;min_price;rating.quality_of_sleep;rating.location;rating.service;rating.cleanness;rating.meal;lon;lat;id
Усадьба Филатовых;8.1;1800;8.7;8.7;7.4;7.4;7.9;107.34217;53.19279;496524_101hotels
Деревенский дом на Ольхоне;6.7;3000;0;0;0;0;0;107.34186;53.19697;496526_101hotels
Волна плюс;0;0;0;0;0;0;0;107.34418;53.19377;496527_101hotels
Жуковых;9.8;1250;9.6;9.4;9.6;9.8;10;107.31579;53.17604;496529_101hotels
Лазаревых;9.4;2500;9.4;9.3;9.4;9.6;10;107.359;53.19700672;496530_101hotels
На Горького;7.9;3000;7.9;7.9;7.9;7.9;7.2;107.34129;53.19185;496531_101hotels
Семейный мини-отель на Ольхоне;8.6;4320;8.1;8.9;8.7;9.4;0;107.34378;53.19476;496532_101hotels
Усадьба Радана;8.5;2500;8.3;10;8.9;9.3;0;107.3414;53.1942;496533_101hotels
Уютный;8.5;1800;8.3;9.4;7.9;8.7;0;107.3381;53.19695772;496534_101hotels
Paradise Island;8.5;2250;10;10;10;8.7;10;107.35474;53.196072;500753_101hotels
LakePlace;8.3;6500;9.1;9.3;8.7;9.4;0;107.35255;53.19742;500754_101hotels
Песчаный;9;5000;8.9;8.1;7.6;8.9;0;107.33068;53.1906;514120_101hotels
Панорама;9.1;6000;8.7;9.1;8.9;9.4;8.7;107.35019;53.19907;514122_101hotels
ОЛЬХОН;8.5;2500;10;8.7;10;10;10;107.354;53.19383874;514123_101hotels
Цветок под Снегом;8.9;800;8.5;8.9;7.8;8.5;0;107.33149;53.18814;514125_101hotels
Baikal Nomad;9.3;3500;9.4;8.9;8.3;9.6;0;107.36098;53.19666;559446_101hotels
На Ольоне;9.4;1500;9.1;8.1;8.9;9.6;0;107.344778;53.188654;559449_101hotels
Guesthouse Baykalskie Zori;8;3000;9.6;10;9.1;9.4;0;107.35973;53.19846;559455_101hotels
Guesthouse on Beregovaya 20;9.8;3500;9.3;9.1;9.3;9.4;0;107.3218;53.18622;559456_101hotels
Holiday Park on Olkhon;8.9;3600;9.3;8.5;9.1;9.6;0;107.34188;53.19008;559458_101hotels
Ольхонские терема;8.3;3000;9.1;7.9;8.5;9.1;0;107.34515;53.18888;559459_101hotels
Piplolxon;8.5;5400;8.5;9.3;9.3;9.1;0;107.36191;53.19817;559461_101hotels
Shambala;0;4500;0;0;0;0;0;107.35214;53.19872;559462_101hotels
У Лукоморья;8.7;4400;9.3;9.3;9.3;9.8;0;107.33068;53.1906;559463_101hotels
Жемчужина Ольхона;8.7;2000;8.1;9.1;7.9;8.7;0;107.34784;53.19109;559465_101hotels
