Unnamed: 0,name,url,id
67,Берёзка,https://restaurantguru.ru/Berezka-Russia-21,67
68,Кафе,https://restaurantguru.ru/Kafe-Ilyinka-Buryatia,68
69,Багульник,https://restaurantguru.ru/Bagulnik-Russia-4,69
70,Буузная,https://restaurantguru.ru/Buuznaya-Babushkin,70
71,Хан Юрта,https://restaurantguru.ru/Khan-Yurta-Russia,71
72,Имбирь,https://restaurantguru.ru/Sushi-Bar-Imbir-Russia,72
73,Хот-доги; Кофе в турке; Отличный чай,https://restaurantguru.ru/Khot-dogi-Kofe-v-turke-Otlichnyi-chai-Russia,73
74,Кафе МясоЕД,https://restaurantguru.ru/Kafe-MyasoED-Ust-Ordynsky,74
75,Метелица,https://restaurantguru.ru/Metelitsa-Russia-4,75
76,"Кафе ""Юрта""",https://restaurantguru.ru/Kafe-Yurta-Babushkin,76
77,Трактир,https://restaurantguru.ru/Traktir-Babushkin,77
78,Ольхон,https://restaurantguru.ru/Olkhon-Russia,78
79,Юндэн,https://restaurantguru.ru/Yunden-Ust-Ordynsky,79
80,Банкетный зал Алтан Булаг,https://restaurantguru.ru/Banketnyy-zal-Altan-Bulag-Ust-Ordynsky,80
81,База отдыха Пирс,https://restaurantguru.ru/Baza-Otdykha-Pirs-Russia,81
82,Harat's Pub,https://restaurantguru.ru/Harats-Pub-Russia-3,82
83,Кафе,https://restaurantguru.ru/Kafe-Russia-1081,83
84,Кафе Жасмин,https://restaurantguru.ru/Kafe-Zhasmin-Russia,84
85,Вояж,https://restaurantguru.ru/Voyazh-Russia-5,85
86,La Family,https://restaurantguru.ru/LaFamily-Ust-Ordynsky,86
87,Уряал,https://restaurantguru.ru/Uryaal-Ust-Ordynsky,87
88,"Банкетный зал "" МАКСИ """,https://restaurantguru.ru/Banketnyy-Zal-Maksi-Ust-Ordynsky,88
89,Суши Токио,https://restaurantguru.ru/Sushi-Tokio-Ust-Ordynsky,89
90,Макена,https://restaurantguru.ru/Makena-Ust-Ordynsky,90
91,Родник,https://restaurantguru.ru/Rodnik-Russia-19,91
92,Баку,https://restaurantguru.ru/Baku-Russia,92
